strDrink,strDrinkThumb,idDrink
Black Forest Shake,https://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg,15951
Black Russian,https://www.thecocktaildb.com/images/media/drink/8oxlqf1606772765.jpg,11102
Blackthorn,https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg,11106
Bleeding Surgeon,https://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,16295
Blind Russian,https://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,14356
Bloody Maria,https://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,11112
Bloody Mary,https://www.thecocktaildb.com/images/media/drink/t6caa21582485702.jpg,11113
Bloody Punch,https://www.thecocktaildb.com/images/media/drink/5yhd3n1571687385.jpg,178312
Blue Hurricane,https://www.thecocktaildb.com/images/media/drink/nwx02s1515795822.jpg,17268
Blue Lagoon,https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg,11117
Blue Margarita,https://www.thecocktaildb.com/images/media/drink/bry4qh1582751040.jpg,11118
Blue Mountain,https://www.thecocktaildb.com/images/media/drink/bih7ln1582485506.jpg,11119
Blueberry Mojito,https://www.thecocktaildb.com/images/media/drink/07iep51598719977.jpg,178336
Bluebird,https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,11120
Bob Marley,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,13395
Bobby Burns Cocktail,https://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,11121
Bombay Cassis,https://www.thecocktaildb.com/images/media/drink/h1e0e51510136907.jpg,17242
Boomerang,https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,11124
Boozy Snickers Milkshake,https://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,17221
Boston Sidecar,https://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,11128
Boston Sour,https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,11129
Boulevardier,https://www.thecocktaildb.com/images/media/drink/km84qi1513705868.jpg,17251
Bounty Hunter,https://www.thecocktaildb.com/images/media/drink/t8bgxl1596018175.jpg,178331
Bourbon Sling,https://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,11146
Bourbon Sour,https://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,11147
Boxcar,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,11149
Brain Fart,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,17120
Brainteaser,https://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,13405
Bramble,https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,17210
Brandon and Will's Coke Float,https://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,16447
Brandy Alexander,https://www.thecocktaildb.com/images/media/drink/mlyk1i1606772340.jpg,11016
Brandy Cobbler,https://www.thecocktaildb.com/images/media/drink/5xgu591582580586.jpg,11157
Brandy Flip,https://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,11164
Brandy Sour,https://www.thecocktaildb.com/images/media/drink/b1bxgq1582484872.jpg,11170
Brave Bull Shooter,https://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,13068
Brigadier,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,17825
Broadside,https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,178311
Brooklyn,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,178310
Bruce's Puce,https://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,13066
Bruised Heart,https://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,16998
Bubble Gum,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,14730
Buccaneer,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,17035
Bumble Bee,https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,14538
Butter Baby,https://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,17220
Butterfly Effect,https://www.thecocktaildb.com/images/media/drink/ht3hnk1619704289.jpg,178356
Cafe Savoy,https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,14181
Caipirinha,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,11202
Caipirissima,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,13206
California Lemonade,https://www.thecocktaildb.com/images/media/drink/q5z4841582484168.jpg,11205
California Root Beer,https://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,14282
Campari Beer,https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,16047
Captain Kidd's Punch,https://www.thecocktaildb.com/images/media/drink/d83spj1596017390.jpg,178329
Caribbean Boilermaker,https://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,17065
Caribbean Orange Liqueur,https://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,12796
Casa Blanca,https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,11222
Casino,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,17185
Casino Royale,https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,11224
